"","x"
"12506","natioanl day laborer organizing network"
"12507","american coalition for fathers and children"
"12508","inmotion inc"
"12509","lakeshore legal aid"
"12510","national advocates for pregnant women"
"12511","new york legal assistance group"
"12512","university of baltimore family law clinic"
"12513","battered womens resource center"
"12514","domestic violence report"
"12515","family violence law center"
"12516","american family rights association"
"12517","oregon family rights"
"12518","family advocacy movement"
"12519","family legal project of nebraska inc"
"12520","georgia office of family representation"
"12521","udc david a clarke school of law legal clinic"
"12522","juvenile rights project"
"12523","center for children's advocacy"
"12524","civil justice clinic"
"12525","clinical social work association"
"12526","childrens advocacy clinic"
"12527","pacer center"
"12528","parents united for responsible education"
"12529","eagle forum education  legal defense fund inc"
"12530","family defense center"
"12531","childrens law section of the state bar of michigan"
"12532","legal aid society juvenile rights practice"
"12533","civil rights and liberties committee of the new york county lawyers association"
"12534","cps watch legal team"
"12535","society of catholic social scientists"
"12536","oregon school boards association"
"12537","childrens advocacy institute"
"12538","oregon chapter of the national association of social workers"
"12539","arizona prosecuting attorneys advisory council"
"12540","bronx defenderslbrooklyn family defense project"
"12541","center for family representation inc"
"12542","new york university school of law family defense clinic"
"12543","columbia law school child advocacy clinic"
"12544","lutron electronics co inc"
"12545","hewlett packard company"
"12546","mcafee inc"
"12547","comcast corporation"
"12548","facebook inc"
"12549","intuit inc"
"12550","overstockcom inc"
"12551","sap america inc"
"12552","independence law center"
"12553","institute for justice texas chapter"
"12554","impact fund lawyers committee for civil rights under law"
"12555","national employment lawyers association new york"
"12556","sap america"
"12557","ieeeusa"
"12558","ip advocate"
"12559","association of independent research institutes"
"12560","american council on education association of american medical colleges"
"12561","west virginia investment mangement board"
"12562","delaware public emloyees retirement system"
"12563","municipal emloyees"
"12564","retirement system of michigan"
"12565","new york fire department pension fund"
"12566","north carolina retirement systems"
"12567","teachers retirement system of the city of new york"
"12568","project fastlane inc"
"12569","unity semiconductor corporation"
"12570","university patent owners and licensees"
"12571","luminex corporation"
"12572","bayer ag"
"12573","association of practicing entities"
"12574","connect"
"12575","venture capital firms aberdare ventures"
"12576","affinity capital"
"12577","alta partners"
"12578","arch ventures"
"12579","asset management company"
"12580","atlas ventures"
"12581","canaan partners"
"12582","delphi ventures"
"12583","hlm venture partners"
"12584","kearny venture partners"
"12585","latterell venture partners"
"12586","new enterprise associates"
"12587","prospect venture partners"
"12588","thomas mcnerney  partners"
"12589","us venture partners"
"12590","venrock"
"12591","venture investors llc"
"12592","versant ventures"
"12593","vertical group"
"12594","intellectual ventures management"
"12595","ecolab inc"
"12596","dolby laboratories boston scientific corporation"
"12597","valspar corporation"
"12598","roche molecular systems inc"
"12599","eagle harbor holdings llc"
"12600","amicour ip group llc"
"12601","elcommercecominc"
"12602","apotex inc"
"12603","emc corporation"
"12604","bar association of the district of columbia patent trademark  copyright section"
"12605","apple inc"
"12606","acushnet company"
"12607","pregis corporation"
"12608","terex corporation"
"12609","walmart stores inc"
"12610","dell computer corp"
"12611","htc corp"
"12612","l3 communications corp"
"12613","linkedin corp"
"12614","rackspace hosting inc"
"12615","shutterfly inc"
"12616","zynga inc"
"12617","hercules opensource project"
"12618","timex group usa inc"
"12619","macdermid inc"
"12620","gem manufacturing inc"
"12621","perfect 10 antenna company inc"
"12622","carson optical inc"
"12623","office depot inc"
"12624","toyota motor corporation"
"12625","trimble navigation limited"
"12626","synerx pharma llc"
"12627","internet retailers"
"12628","trimble navigation"
"12629","bahrain women association for human development"
"12630","international human rights law clinic at the university of virigina law school of law"
"12631","international womens rights action watch asia pacific"
"12632","national congress of black women"
"12633","center for family policy and practice"
"12634","national association of nurse practitioners in womens health"
"12635","national latino fatherhood and family institute"
"12636","people for the american way fo undation"
"12637","women  politics institute"
"12638","amer of san diego and imperial counties"
"12639","federal bar association  indian law section"
"12640","employees retirement system of the government of the virgin islands"
"12641","attorneys liability assurance society inc a risk retention group"
"12642","james madison center"
"12643","association of capitol reporters and editors"
"12644","advocates for childrens services"
"12645","education law center  pa"
"12646","center on wrongful convictiosn of youth"
"12647","northwest juvenile defender center"
"12648","us womens chamber of commerce"
"12649","naacp legl defense and education fund inc"
"12650","a better balance the work  family legal center"
"12651","dc employment justice center"
"12652","womens city"
"12653","retail litigation center inc"
"12654","costco wholesale corporation"
"12655","tyson foods inc"
"12656","kimberlyclark corporation"
"12657","del monte foods company"
"12658","dole food company inc"
"12659","dollar general corporation"
"12660","dupont company"
"12661","fedex corporation"
"12662","unitedhealth group incorporated"
"12663","walgreen co"
"12664","international association of defense counsel"
"12665","society for human resource management and hr policy association"
"12666","curiae of pacific legal foundation"
"12667","chrysler group llc"
"12668","national troopers coalition"
"12669","pennsylvania state troopers association"
"12670","amer of pennsylvania"
"12671","state and local legal center"
"12672","brief of national school boards association"
"12673","pennsylvania state association of boroughs"
"12674","llearth renewables inc"
"12675","namaste solar"
"12676","petersendean inc"
"12677","revision energy"
"12678","westinghouse solar"
"12679","new evangelical partnership for the common good"
"12680","maryknoll office for global concerns"
"12681","interfaith power and light"
"12682","franciscan action network"
"12683","columban center for advocacy and outreach"
"12684","missionary oblates of mary immaculate"
"12685","church world"
"12686","unitarian universalist ministry for earth"
"12687","province of the immaculate conception of the congregation of the missionary sisters of the immaculate conception"
"12688","ei du pont de nemours  company"
"12689","edison international"
"12690","conocophillips"
"12691","affordable power alliance"
"12692","consumer energy alliance"
"12693","natso inc"
"12694","international liquid terminals association"
"12695","american coatings association"
"12696","public nuisance fairness coalition"
"12697","dc appleseed center for law and justice"
"12698","south carolina appleseed legal justice center"
"12699","south carolina center for fathers and families"
"12700","national conference of firemen  oilers district of local 32 bj"
"12701","seiu"
"12702","american society of crime lab directors"
"12703","california association of crime laboratory directors"
"12704","international association of coroners and medical examiners"
"12705","national association of medical examiners"
"12706","california state coroners association"
"12707","state of new mexico department of health scientific laboratory division"
"12708","connecticut office of the chief public defender"
"12709","delaware public defender"
"12710","maryland office of the public defender"
"12711","michigan state apellate defender office"
"12712","missouri state public defender"
"12713","new jersey office of the public defender"
"12714","virigina association fo criminal defense lawyers"
"12715","alaska association of criminal defense lawyers"
"12716","arkansas public defender commission"
"12717","texas alliance for patient access"
"12718","louisiana medical mutual insurance company"
"12719","morton grove pharmaceuticals inc"
"12720","impax laboratories inc"
"12721","genetic alliance"
"12722","american society for automation in pharmacy"
"12723","healthcare leadership council"
"12724","council of american survey research organizations inc"
"12725","massachusetts biotechnology council"
"12726","bioforward"
"12727","bionj"
"12728","colorado bioscience association"
"12729","connecticut united for research excellence inc"
"12730","illinoise biotechnology industry organization"
"12731","iowa biotechnology association"
"12732","kansas bioscience organization"
"12733","lifescience alley"
"12734","michigan biosciences industry association"
"12735","pennsylvania bio"
"12736","south dakota biotechnology association"
"12737","texas healthcare and bioscience institute"
"12738","washington biotechnology  biomedical association"
"12739","techfreedom"
"12740","corelogic"
"12741","coalition for healthcare communication"
"12742","mcgrawhill companies inc"
"12743","propublica"
"12744","texas tribune"
"12745","ims health inc"
"12746","verispan llc"
"12747","source healthcare analytics inc"
"12748","american academy of family practitioners"
"12749","medical association of georgia"
"12750","vermont medical society"
"12751","new hampshire pirg"
"12752","national physicians alliance"
"12753","national legislative association on prescription drug prices"
"12754","afscme district council 37"
"12755","yale rudd center for food policy  obesity"
"12756","public health law  policy"
"12757","berkeley media studies group"
"12758","public health law center"
"12759","center for digital democracy"
"12760","campaign for a commercialfree childhood"
"12761","center for the rule of law"
"12762","international game developers association"
"12763","academy of interactive arts and sciences"
"12764","techamerica"
"12765","digital liberty project of americans for tax reform"
"12766","students for free culture"
"12767","future of music coalition"
"12768","national association of media arts and culture"
"12769","fractured atlas"
"12770","national cable"
"12771","telecommunications association"
"12772","vindicia inc"
"12773","consumer electronic retailers coalition"
"12774","state retailer federations"
"12775","activision blizzard inc"
"12776","id software llc"
"12777","lucasfilm ltd"
"12778","pen center usa"
"12779","recording academy"
"12780","eagle forum education"
"12781","common sense media"
"12782","california chapter of the american academy of pediatrics"
"12783","maine citizens for clean elections"
"12784","campaign for liberty"
"12785","arizona state chapter of the association of american physicians and surgeons"
"12786","yankee institute for public policy"
"12787","bishopaccountabilityorg"
"12788","cardozo advocates for kids"
"12789","child protection project"
"12790","foundation to abolish child sex abuse"
"12791","jewish board of advocates for children inc"
"12792","kidsafe foundation"
"12793","national black church initiative"
"12794","survivors for justice"
"12795","survivors network of those abused by priests"
"12796","amer of michigan"
"12797","disability rights advocates"
"12798","naacp legal defense fund"
"12799","american humanist association and american atheists inc"
"12800","international center for law and religion studies at brigham young university"
"12801","brief of the united states conference of catholic bishops"
"12802","presiding bishop of the episcopal church"
"12803","muslimamerican public affairs council"
"12804","church of the lukumi babalu aye"
"12805","o centro beneficente uniao do vegetal"
"12806","templo yoruba omo orisha"
"12807","international mission board of the southern baptist convention"
"12808","council of hindu temples of north america"
"12809","mandaean association of massachusetts"
"12810","adventist health system  west"
"12811","church communities international"
"12812","church state council"
"12813","mandaean society of america"
"12814","moravian church in america"
"12815","american bible society"
"12816","association of gospel rescue missions"
"12817","awana clubs international"
"12818","moody bible institute of chicago"
"12819","new tribes mission"
"12820","trans world radio"
"12821","upward sports"
"12822","salvation army national corporation"
"12823","trinity baptist church of jacksonville"
"12824","north american division of seventhday adventists office of education"
"12825","adventist health"
"12826","calvin college"
"12827","christian reformed church in north america"
"12828","kuyper college"
"12829","houghton mifflin harcourt publishing company"
"12830","international federation of reproduction rights organisations"
"12831","international federation of scholarly publishers"
"12832","international association of scientific"
"12833","technical  medical publishers"
"12834","borsenverein des deutschen buchhandels ev"
"12835","university of michigan dean of libraries"
"12836","wikimedia foundation"
"12837","project petrucci llc"
"12838","creative commons corporation"
"12839","conductors guild"
"12840","heartland angels inc"
"12841","american association of swine veterinarians"
"12842","national pork producers council"
"12843","gun owners foundation us justice foundation"
"12844","center for media and democracy"
"12845","declaration alliance"
"12846","restoring liberty action committee"
"12847","district of columbia association of criminal defense lawyers"
"12848","owneroperator independent drivers association inc"
"12849","council on americanislamic relations"
"12850","fourth amendment historians"
"12851","amer of the nations capital"
"12852","national motorists association"
"12853","organization of chinese americans greater houston chapter"
"12854","defending dissent foundation"
"12855","muslim legal fund of america"
"12856","national rifle association of america inc"
"12857","california rifle and pistol association foundation inc"
"12858","big blackfoot riverkeeper"
"12859","oregon council trout unlimited"
"12860","montana trout unlimited"
"12861","citizens for pennsylvanias future"
"12862","river management society"
"12863","indiana wildlife federation"
"12864","natural resources council of maine"
"12865","utah stream access coalition and western resource advocates"
"12866","public utility district no 1 of snohomish county washington"
"12867","montana water resources association"
"12868","clinton irrigation district"
"12869","colorado farm bureau"
"12870","dude ranchers association"
"12871","colorado cattlemen's association"
"12872","creekside coalition"
"12873","kirtland farms 600 llc"
"12874","caldwell family llc"
"12875","freeportmcmoran corporation"
"12876","national association of childrens hospitals"
"12877","national association of community health centers"
"12878","american academy of family physicians and the american college of emergency physicians"
"12879","black womens health imperative"
"12880","national disability network"
"12881","first focus"
"12882","childrens dental health project"
"12883","national reach coalition"
"12884","asian pacific islander american health forum"
"12885","national alliance of state pharmacy associations"
"12886","thyssenkrupp budd company"
"12887","griffin wheel company"
"12888","john crane inc"
"12889","national association of retired and veteran railway employees"
"12890","afscme international"
"12891","a better balance"
"12892","national womens law center9to5 national association of working women"
"12893","myriad genetics inc"
"12894","novartis corporation"
"12895","genomic health inc"
"12896","veracyte inc"
"12897","xdx inc"
"12898","biodesix inc"
"12899","target discovery inc"
"12900","the coalition for 21st medicine"
"12901","baybio"
"12902","juhasz law firm pc"
"12903","association of professors of human and medical genetics"
"12904","florida hospital association"
"12905","minnesota hospital association"
"12906","minnesota medical association"
"12907","laboratory corporation of america"
"12908","arup laboratories inc"
"12909","ventana medical systems inc"
"12910","association internationale pour la protection de la propriete intellectuelle"
"12911","international association for the protection of intellectual property"
"12912","americans for peace now"
"12913","association of proud american citizens born in jerusalem israel"
"12914","b'nai b'rith international"
"12915","lawfare project"
"12916","connecticut criminal defense lawyers association"
"12917","real estate roundtable and national apartment association"
"12918","national mining association national multi housing council"
"12919","wet weather partnership"
"12920","south carolina water quality association"
"12921","north carolina water quality association"
"12922","west virginia municipal water quality association"
"12923","virginia association of municipal wastewater agencies"
"12924","apicha inc"
"12925","aids foundation of chicago"
"12926","gay city health project"
"12927","global network of people living with hiv"
"12928","interior aids association"
"12929","metro teenaids"
"12930","national black gay mens advocacy coalition"
"12931","transgender legal defense and education fund"
"12932","hiv law project"
"12933","national association of counties and national league of cities"
"12934","new jersey county jail wardens association"
"12935","texas conference of urban counties"
"12936","texas chief deputies association"
"12937","texas municipal league intergovernmental risk pool"
"12938","maine county commissioners association"
"12939","policemen's benevolent association local 249"
"12940","policemen's benevolent association local 199"
"12941","policemen's benevolent association local 177"
"12942","policemen's benevolent association local 109"
"12943","policemen's benevolent association local 167"
"12944","county commissioners association of pennsylvania"
"12945","national clearinghouse for the defense of battered women"
"12946","california coalition against sexual assault"
"12947","center for prisoner health and human rights"
"12948","allergan inc"
"12949","shire pharmaceuticals inc"
"12950","medicis pharmaceutical corp"
"12951","somaxon corp"
"12952","mylan pharmaceuticals inc"
"12953","kbr inc"
"12954","yale law school center for global legal challenges"
"12955","nvidia corp"
"12956","american college of tax counsel"
"12957","grapevine imports ltd"
"12958","dsdbl ltd"
"12959","utam ltd"
"12960","reynolds properties lp"
"12961","bausch  lomb incorporated"
"12962","cancer legal resource center of the disability rights legal center"
"12963","chicago area translators and interpreters association"
"12964","colorado translators association"
"12965","el paso interpreters and translators association"
"12966","national association of judiciary interpreters and translators"
"12967","escrow association"
"12968","leading real estate companies of the world"
"12969","realty alliance and real estate services providers council inc"
"12970","housing policy council of the financial services roundtable"
"12971","managed funds association"
"12972","loan syndications and trading association"
"12973","commercial real estate finance council"
"12974","equipment leasing and finance association"
"12975","fbi agents association"
"12976","alexander valley association"
"12977","barstow christian ministerial association"
"12978","big lagoon park company"
"12979","blythe boat club"
"12980","california coalition against gambling expansion"
"12981","citizens for a better way"
"12982","coalition of retailers"
"12983","citizens for a sustainable point molate"
"12984","colorado river residents for justice"
"12985","dehesa valley community council"
"12986","friends of amador county"
"12987","jamulians against the casino"
"12988","joshua tree community association"
"12989","madera community action network"
"12990","madera ministerial association"
"12991","neighbors of casino san pablo"
"12992","no casino in cloverdale"
"12993","no casino in plymouth"
"12994","old barona road association"
"12995","rohnert park families"
"12996","santa ynez valley alliance"
"12997","santa ynez valley concerned citizens"
"12998","save our communities"
"12999","stand up for california"
"13000","stop casino 101 coalition"
"13001","stop reservation shopping"
"13002","we watch"
"13003","west bank homeowners"
"13004","kalamazoo regional chamber of commerce"
"13005","dorr business association"
"13006","west michigan hispanic chamber of commerce"
"13007","barry county chamber of commerce"
"13008","barry county economic development alliance"
"13009","gun lake busienss association"
"13010","wayland area chamber of commerce"
"13011","allegan area chamber of commerce"
"13012","native american finance officers association"
"13013","confederated tribes of grand ronde"
"13014","alaska native tribal health consortium"
"13015","chickasaw nation of oklahoma"
"13016","choctaw nation of oklahoma"
"13017","kodiak area native association"
"13018","southcentral foundation"
"13019","southeast alaska regional health consortium"
"13020","tanana chiefs conference"
"13021","arctic slope native assiociation ltd"
"13022","society of wildlife forensic examiners"
"13023","california dui lawyers association"
"13024","criminal procedure scholars"
"13025","amer of illinois"
"13026","stopthedrugwarorg"
"13027","open society institute"
"13028","college broadcasters inc"
"13029","southern california public radio"
"13030","tully center for free speech"
"13031","woodhull freedom foundation"
"13032","american college of pediatricians"
"13033","christian medical and legal association"
"13034","yale law school information society project scholars"
"13035","family and family research council"
"13036","decency enforcement center for television"
"13037","montanans for corporate accountability"
"13038","montana league of rural voters"
"13039","montana conservation voters"
"13040","progressives united"
"13041","us pirg education fund and wisconsin democracy campaign"
"13042","eleventh amendment movement"
"13043","novak and novak inc"
"13044","dba mikes thriftway"
"13045","free speech for people"
"13046","american sustainable business council"
"13047","rizona employers for immigration reform"
"13048","arizona hispanic chamber of commerce"
"13049","american subcontractors association of arizona"
"13050","hill  usher llc"
"13051","greater houston partnership"
"13052","arizona attorneys for criminal justice"
"13053","congregation of sisters of st agnes"
"13054","congregation of st joseph"
"13055","congregation of the sisters of charity of saint vincent de paul of new york"
"13056","convent of the sisters of saint joseph of chesnut hill philadelphia"
"13057","daughters of charity of st vincent de paul province of st louise"
"13058","daughts of charity of st vincent de paul province of the west"
"13059","dominican sisters of peace"
"13060","dominican sisters of st catherine de ricci"
"13061","dominican sisters grand rapids mi"
"13062","esperanza"
"13063","fair immigration reform movement"
"13064","grey nuns of the sacred heart"
"13065","holy cross ministies"
"13066","immigration equality"
"13067","league of women voters of utah"
"13068","main street alliance"
"13069","make the road new york"
"13070","national advocacy center of the sisters of the good shepherd"
"13071","national association of colored womens clubs"
"13072","national latino evangelical coalition"
"13073","oca"
"13074","refugee  immigration ministries disciples home missions christian church disciples of christ"
"13075","religious sisters of charity"
"13076","rights working group"
"13077","school sisters of"
"13078","amer of arizona"
"13079","national day labor organizing network"
"13080","minuteman civil defense corps"
"13081","committee to protect americas border"
"13082","legislators for legal immigration"
"13083","freedom watch"
"13084","secure states initiative"
"13085","liberty legal foundation"
"13086","thomas more law center and center for security policy"
"13087","amer of southern california"
"13088","wnet"
"13089","village voice media holdings llc"
"13090","west inc"
"13091","intellectual property amicus brief clinic of the university of new hampshire school of law"
"13092","congressional medal of honor foundation"
"13093","amvets"
"13094","military order of the world wars"
"13095","association of the united states army"
"13096","association of the united states navy"
"13097","air force women officers associated"
"13098","reserve officers association"
"13099","army reserve association"
"13100","distinguished flying cross society"
"13101","special forces association us army ranger association inc"
"13102","flag and general officers network"
"13103","association of graduates"
"13104","us air force academy"
"13105","west point association of graduates"
"13106","national coalition of black lung and respiratory disease clinics inc"
"13107","aids services in asian communities"
"13108","asian american cancer support network"
"13109","asian american health coalition  hope clinic"
"13110","asian  pacific islander coalition on hivaids inc"
"13111","asian  pacific islander national cancer survivors network"
"13112","asian  pacific islander wellness center"
"13113","asian health services"
"13114","asian pacific aids intervention team health center"
"13115","asian pacific american network of oregon"
"13116","asian pacific community in action"
"13117","asian services in action inc"
"13118","asian and pacific islanders with disabilities of california"
"13119","coalition for asian american children and families"
"13120","empowering pacific islander communities"
"13121","filipino community cancer collaborative"
"13122","guam communications network"
"13123","hawaii island hivaids foundation"
"13124","kalusufan coalition"
"13125","lao assistance center of minnesota"
"13126","light and salt association"
"13127","malama pono health services"
"13128","mary queen of viet nam community develop corporation inc"
"13129","national tongan american society"
"13130","native hawaiian and p"
"13131","michuhcan"
"13132","michigan consumers for healthcare"
"13133","center for civil justice"
"13134","washington and lee university school of law black lung clinic"
"13135","public health law association"
"13136","association of schools of public health national association of county and city health officials"
"13137","doctors for america"
"13138","national council on aging"
"13139","affiliated tribes of northwest indians"
"13140","akchin indian community"
"13141","alaska native health board"
"13142","cherokee nation"
"13143","chickasaw nation"
"13144","citizen potawatomi nation"
"13145","comanche nation"
"13146","consolidated tribal health project inc"
"13147","coquille tribe of oregon"
"13148","great plains tribal chairmans association"
"13149","hochunk nation"
"13150","inter tribal council of arizona inc"
"13151","jamestown sklallam tribe of washington"
"13152","kaw nation"
"13153","lytton rancheria of california"
"13154","maniilaq association"
"13155","montanawyoming tribal leaders council"
"13156","northern valley indian health inc"
"13157","northwest portland area indian health board"
"13158","prairie band potawatomi nation"
"13159","squaxin island tribe of the squaxin island reservation"
"13160","susanville indian rancheria"
"13161","and the united south and eastern tribes inc"
"13162","national indian health board"
"13163","pawnee nation of oklahoma"
"13164","all india"
"13165","western center for journalism"
"13166","citizens council for health freedom"
"13167","national association of independent land title agents"
"13168","american escrow association"
"13169","community mortgage banking project"
"13170","housing policy council"
"13171","real estate services providers council inc"
"13172","stewart information services corporation"
"13173","fidelity national financial inc"
"13174","old republic national title insurance company"
"13175","brief of american land title association"
"13176","wolfsen land and cattle company"
"13177","turner island farms inc"
"13178","west turner island ranch"
"13179","lone willow ranch"
"13180","association of fish  wildlife agencies"
"13181","volkswagen group of america inc"
"13182","heal the bay"
"13183","friends of the los angeles river"
"13184","la river expeditions"
"13185","hudson river fishermen's association new jersey chapter"
"13186","sabine river authority of texas"
"13187","pacificorp"
"13188","firstlight power resources"
"13189","public utility district no 1 of chelan county washington"
"13190","public utility district no 2 of grant county washington"
"13191","sabine river authority state of louisiana"
"13192","santa clara valley water district"
"13193","albuquerque metropolitan arroyo flood control authority"
"13194","acting by and through its board of water commissioners"
"13195","northern colorado water conservancy district"
"13196","lower arkansas valley water conservancy district"
"13197","east bay municipal utility district"
"13198","southern nevada water authority"
"13199","truckee meadows water authority"
"13200","central utah water conservancy district"
"13201","metropolitan water district of salt lake  sandy"
"13202","city and county of denver"
"13203","west valley water district of california"
"13204","semitropic water storage district of california and wheeler ridgemaricopa water storage district of california"
"13205","new york state conference of mayors"
"13206","american public works association"
"13207","water environment federation"
"13208","stormwater management agencies"
"13209","national association of flood"
"13210","florida stormwater association"
"13211","national marine bankers association"
"13212","seattle floating homes association"
"13213","floating homes association of sausalito"
"13214","quality reimbursement services inc"
"13215","southwest consulting associates lp"
"13216","benjamin n cardozo school of law tax clinic"
"13217","centre for family law and policy"
"13218","lee memorial health system"
"13219","georgia hospital association"
"13220","georgia alliance of community hospitals inc"
"13221","national police canine association"
"13222","police k9 magazine"
"13223","los angeles county public defenders office"
"13224","kentucky department of public advocacy"
"13225","lancaster county public defenders office"
"13226","texas fair defense project"
"13227","office of the defender general of vermont"
"13228","hall county public defender"
"13229","law office of the cook county public defender"
"13230","public defenders office for the eleventh judicial circuit of florida"
"13231","east bay community law center"
"13232","committee on civil rights of the association"
"13233","bill of rights defense committee"
"13234","center for financial privacy and human rights"
"13235","consumer watchdog"
"13236","omb watch"
"13237","privacy times"
"13238","world privacy forum"
"13239","canadian civil liberties association"
"13240","center for legal and social studies"
"13241","egyptian initiative for personal rights"
"13242","hungarian civil liberties union"
"13243","irish council for civil libertiesi"
"13244","kenya human rights commission"
"13245","legal resources centre"
"13246","national council for civil liberties"
"13247","occupy the sec"
"13248","new york city pension funds"
"13249","chamber of commerce of the united states of america and pharmaceutical research and manufacturers of america"
"13250","legal foundation and allied educational foundation"
"13251","omega sa"
"13252","licenselogic llc"
"13253","chegg"
"13254","records"
"13255","magazines inc"
"13256","harvard book store inc"
"13257","powells books inc"
"13258","strand book store inc"
"13259","half price books"
"13260","goodwill industries international inc"
"13261","art institute of chicago"
"13262","j paul getty trust"
"13263","museum associates dba los angeles county museum of art"
"13264","san francisco museum of modern art"
"13265","solomon r guggenheim foundation"
"13266","whitney museum of american art"
"13267","asian art museum"
"13268","chongmoon lee center for asian art and culture"
"13269","cedar rapids museum of art"
"13270","cleveland museum of art"
"13271","michael c carlos museum"
"13272","milwaukee art museum"
"13273","mint museum"
"13274","museum of latin american art"
"13275","nasher museum of art at duke university"
"13276","palmer museum of art"
"13277","philbrook museum of art"
"13278","portland art museum"
"13279","timken museum of art"
"13280","toledo museum of art"
"13281","knowledge ecology international"
"13282","association of service and computer dealers international inc"
"13283","hartford underwriters insurance company"
"13284","american national county mutual insurance company"
"13285","manufactured housing institute"
"13286","american national property and casualty company"
"13287","american national general insurance company"
"13288","anpac louisiana insurance company"
"13289","pacific property  casualty company"
"13290","21st century casualty company"
"13291","21st century insurance company"
"13292","21st century insurance company of the southwest"
"13293","21st century insurance group"
"13294","partnership for america"
"13295","arkansas state chamber of commerce"
"13296","western division of the american fisheries society"
"13297","humboldt fishermen's marketing association"
"13298","santa cruz commercial fishermen's association"
"13299","environmental protection information center"
"13300","rogue riverkeeper"
"13301","puget soundkeeper alliance"
"13302","wildlands cpr"
"13303","alliance for the wild rockies"
"13304","native fish society"
"13305","clean water network"
"13306","northwest environmental advocates"
"13307","ational alliance of forest owners"
"13308","forest resources association"
"13309","empire state forest products association"
"13310","georgia forestry association"
"13311","louisiana forestry association"
"13312","maine forest products council"
"13313","michigan forest products council"
"13314","mississippi forestry association"
"13315","new hampshire timberland owners association"
"13316","pennsylvania forest products association"
"13317","south carolina forestry association"
"13318","virginia forestry association"
"13319","washington forest protection association"
"13320","national association of state foresters"
"13321","association of consulting foresters of america inc"
"13322","national association of forest service retirees"
"13323","forestry schools"
"13324","academics and forestry professionals"
"13325","society of american foresters"
"13326","buckeye conservancy"
"13327","associated logging contractors idaho"
"13328","forest landowners association"
"13329","missouri forest products association"
"13330","north carolina forestry association"
"13331","northern arizona loggers association"
"13332","ohio forestry association"
"13333","oregon women in timber"
"13334","treated wood council"
"13335","virginia forest products association"
"13336","federal forest resource coalition inc"
"13337","intermountain forest association"
"13338","ruffed grouse society"
"13339","idaho association of counties"
"13340","association of o  c counties"
"13341","forest resources association empire state forest products association"
"13342","louisiana forestry association maine forest products council"
"13343","federation of defense and corporate counsel"
"13344","north carolina advocates for justice"
"13345","battelle memorial institute"
"13346","sandia corporation"
"13347","utbattelle llc"
"13348","lawrence livermore national security llc"
"13349","los alamos national security llc"
"13350","uchicago argonne llc"
"13351","alliance for sustainable energy llc"
"13352","wood herron  evans llp"
"13353","just detention international"
"13354","national center for transgender equality"
"13355","national consumer league and national consumer voice for long term care"
"13356","bet tzedek"
"13357","public interest law project"
"13358","arizona association for justice"
"13359","utah association for justice"
"13360","san francisco trial lawyers association"
"13361","minnesota association for justice"
"13362","south dakota trial lawyers association"
"13363","new jersey association for justice"
"13364","michigan association for justice"
"13365","pennsylvania association for justice"
"13366","rawllngs company llc"
"13367","western pennsylvania teamsters"
"13368","northern california area retail clerks unions employers welfare fund"
"13369","uschina law society"
"13370","300"
"13371","conoco phillipsgeneral electric"
"13372","rio tinto group"
"13373","businesseurope"
"13374","international chamber of commerce uk"
"13375","association of german chambers of industry and commerce"
"13376","confederation of netherlands industry and employers"
"13377","otp bank"
"13378","engility corporation"
"13379","glaxosmithkline plc"
"13380","institute for human rights and business"
"13381","university of minnesota human rights litigation and international advocacy clinic"
"13382","canadian centre for international justice"
"13383","international association of democratic lawyers"
"13384","international commission for labor rights"
"13385","raid"
"13386","redress trust"
"13387","rutgers law school constitutional litigation clinic"
"13388","global justice clinic at nyu school of law"
"13389","european commission"
"13390","cbi"
"13391","confederation of swedish enterprise"
"13392","economiesuisse"
"13393","international chamber of commerce germany"
"13394","international chamber of commerce netherlands"
"13395","international chamber of commerce switzerland"
"13396","occidental petroleum corporation"
"13397","general electric honeywell"
"13398","liability advisory counsel inc"
"13399","european center for constitutional and human rights"
"13400","northwestern university school of law"
"13401","wyoming county and prosecuting attorneys association"
"13402","missouri association of prosecuting attorneys"
"13403","missouri office of prosecution services"
"13404","arkansas prosecuting attorneys association"
"13405","colorado district attorneys council"
"13406","georgia association of solicitorsgeneral"
"13407","idaho prosecuting attorneys association"
"13408","illinois states attorneys association"
"13409","iowa county attorneys association"
"13410","kentucky commonwealths attorneys association"
"13411","kentucky county attorneys association"
"13412","mississippi prosecutors association"
"13413","oregon district attorneys association"
"13414","statewide association of prosecutors of utah"
"13415","virginia commonwealth attorneys association"
"13416","west virginia prosecuting attorneys association"
"13417","wisconsin district attorneys association"
"13418","alabama district attorneys asso"
"13419","immigration law professors"
"13420","new yorker"
"13421","allbritton communications company"
"13422","ars technica"
"13423","association for alternative media"
"13424","atlantic media inc"
"13425","automattic"
"13426","center for investigative reporting"
"13427","courthouse news service"
"13428","daily caller"
"13429","daily kos"
"13430","digital media law project"
"13431","maplight"
"13432","marylan delawaredistrict of columbia press association"
"13433","muckrock"
"13434","north jursty media group inc"
"13435","online news association"
"13436","politico llc"
"13437","radio television digiital"
"13438","news association"
"13439","slate gorup"
"13440","amer of virginia"
"13441","washington coalition for open government"
"13442","virigina coalition for open government"
"13443","tennessee coalition for open government"
"13444","sensible public records access consumer data industry association"
"13445","lps analytics llc"
"13446","national credit reporting association"
"13447","national multifamily resident information council"
"13448","rl polk  co"
